"p","nut","k","omega","U:0","U:1","U:2","h","Points:0","Points:1","Points:2",
0.00158167,0,2.97831E-06,913.218,0,0,0,0.016123,0,0,0,"(0 0 0)"
0.00158167,0,2.97831E-06,913.218,0,0,0,0.016123,0,0,0.29,"(0 0 29)"
0.00157936,0,2.94766E-06,917.323,0,0,0,0.0160995,0.0015202,0.000238114,0,"(0.15202 0.0238114 0)"
0.00157936,0,2.94766E-06,917.323,0,0,0,0.0160995,0.0015202,0.000238114,0.29,"(0.15202 0.0238114 29)"
0.00157119,0,2.92186E-06,925.674,0,0,0,0.0160163,0.00303742,0.000494608,0,"(0.303742 0.0494608 0)"
0.00157119,0,2.92186E-06,925.674,0,0,0,0.0160163,0.00303742,0.000494608,0.29,"(0.303742 0.0494608 29)"
0.00155496,0,2.93858E-06,934.253,0,0,0,0.0158508,0.00455178,0.000767513,0,"(0.455178 0.0767513 0)"
0.00155496,0,2.93858E-06,934.253,0,0,0,0.0158508,0.00455178,0.000767513,0.29,"(0.455178 0.0767513 29)"
0.00152917,0,2.96181E-06,942.955,0,0,0,0.0155879,0.00606345,0.0010549,0,"(0.606345 0.10549 0)"
0.00152917,0,2.96181E-06,942.955,0,0,0,0.0155879,0.00606345,0.0010549,0.29,"(0.606345 0.10549 29)"
0.00149291,0,2.98794E-06,951.696,0,0,0,0.0152182,0.00757267,0.00135487,0,"(0.757267 0.135487 0)"
0.00149291,0,2.98794E-06,951.696,0,0,0,0.0152182,0.00757267,0.00135487,0.29,"(0.757267 0.135487 29)"
0.00144548,0,3.01143E-06,960.407,0,0,0,0.0147347,0.00907973,0.00166558,0,"(0.907973 0.166558 0)"
0.00144548,0,3.01143E-06,960.407,0,0,0,0.0147347,0.00907973,0.00166558,0.29,"(0.907973 0.166558 29)"
0.00138639,0,3.03022E-06,968.983,0,0,0,0.0141324,0.0105849,0.00198519,0,"(1.05849 0.198519 0)"
0.00138639,0,3.03022E-06,968.983,0,0,0,0.0141324,0.0105849,0.00198519,0.29,"(1.05849 0.198519 29)"
0.00131539,0,3.03941E-06,977.33,0,0,0,0.0134087,0.0120886,0.0023119,0,"(1.20886 0.23119 0)"
0.00131539,0,3.03941E-06,977.33,0,0,0,0.0134087,0.0120886,0.0023119,0.29,"(1.20886 0.23119 29)"
0.00123241,0,3.04422E-06,985.422,0,0,0,0.0125628,0.0135911,0.00264395,0,"(1.35911 0.264395 0)"
0.00123241,0,3.04422E-06,985.422,0,0,0,0.0125628,0.0135911,0.00264395,0.29,"(1.35911 0.264395 29)"
0.00113755,0,3.04765E-06,993.203,0,0,0,0.0115958,0.0150928,0.00297956,0,"(1.50928 0.297956 0)"
0.00113755,0,3.04765E-06,993.203,0,0,0,0.0115958,0.0150928,0.00297956,0.29,"(1.50928 0.297956 29)"
0.00103101,0,3.03993E-06,1000.59,0,0,0,0.0105098,0.0165941,0.003317,0,"(1.65941 0.3317 0)"
0.00103101,0,3.03993E-06,1000.59,0,0,0,0.0105098,0.0165941,0.003317,0.29,"(1.65941 0.3317 29)"
0.000913116,0,3.02948E-06,1007.57,0,0,0,0.00930801,0.0180954,0.00365453,0,"(1.80954 0.365453 0)"
0.000913116,0,3.02948E-06,1007.57,0,0,0,0.00930801,0.0180954,0.00365453,0.29,"(1.80954 0.365453 29)"
0.000784434,0,3.01704E-06,1014.06,0,0,0,0.00799627,0.019597,0.0039904,0,"(1.9597 0.39904 0)"
0.000784434,0,3.01704E-06,1014.06,0,0,0,0.00799627,0.019597,0.0039904,0.29,"(1.9597 0.39904 29)"
0.00064547,0,3.00433E-06,1020.02,0,0,0,0.00657971,0.0210994,0.00432287,0,"(2.10994 0.432287 0)"
0.00064547,0,3.00433E-06,1020.02,0,0,0,0.00657971,0.0210994,0.00432287,0.29,"(2.10994 0.432287 29)"
0.00049749,0,2.99406E-06,1025.38,0,0,0,0.00507125,0.022603,0.00465017,0,"(2.2603 0.465017 0)"
0.00049749,0,2.99406E-06,1025.38,0,0,0,0.00507125,0.022603,0.00465017,0.29,"(2.2603 0.465017 29)"
0.000342937,0,2.98676E-06,1030.18,0,0,0,0.00349579,0.024108,0.00497055,0,"(2.4108 0.497055 0)"
0.000342937,0,2.98676E-06,1030.18,0,0,0,0.00349579,0.024108,0.00497055,0.29,"(2.4108 0.497055 29)"
0.000182933,0,2.96639E-06,1034.43,0,0,0,0.00186477,0.0256149,0.00528219,0,"(2.56149 0.528219 0)"
0.000182933,0,2.96639E-06,1034.43,0,0,0,0.00186477,0.0256149,0.00528219,0.29,"(2.56149 0.528219 29)"
1.7288E-05,0,2.91815E-06,1038.06,0,0,0,0.000176228,0.0271239,0.00558329,0,"(2.71239 0.558329 0)"
1.7288E-05,0,2.91815E-06,1038.06,0,0,0,0.000176228,0.0271239,0.00558329,0.29,"(2.71239 0.558329 29)"
-0.000154363,0,2.85204E-06,1041.07,0,0,0,-0.00157353,0.0286353,0.00587197,0,"(2.86353 0.587197 0)"
-0.000154363,0,2.85204E-06,1041.07,0,0,0,-0.00157353,0.0286353,0.00587197,0.29,"(2.86353 0.587197 29)"
-0.000331012,0,2.77888E-06,1043.51,0,0,0,-0.00337423,0.0301494,0.00614636,0,"(3.01494 0.614636 0)"
-0.000331012,0,2.77888E-06,1043.51,0,0,0,-0.00337423,0.0301494,0.00614636,0.29,"(3.01494 0.614636 29)"
-0.000508279,0,2.7001E-06,1045.35,0,0,0,-0.00518124,0.0316663,0.00640452,0,"(3.16663 0.640452 0)"
-0.000508279,0,2.7001E-06,1045.35,0,0,0,-0.00518124,0.0316663,0.00640452,0.29,"(3.16663 0.640452 29)"
-0.000681871,0,2.60974E-06,1046.67,0,0,0,-0.00695078,0.0331863,0.00664451,0,"(3.31863 0.664451 0)"
-0.000681871,0,2.60974E-06,1046.67,0,0,0,-0.00695078,0.0331863,0.00664451,0.29,"(3.31863 0.664451 29)"
-0.000848868,0,2.5076E-06,1047.52,0,0,0,-0.00865308,0.0347092,0.00686429,0,"(3.47092 0.686429 0)"
-0.000848868,0,2.5076E-06,1047.52,0,0,0,-0.00865308,0.0347092,0.00686429,0.29,"(3.47092 0.686429 29)"
-0.00100369,0,2.41257E-06,1047.97,0,0,0,-0.0102313,0.0362352,0.00706185,0,"(3.62352 0.706185 0)"
-0.00100369,0,2.41257E-06,1047.97,0,0,0,-0.0102313,0.0362352,0.00706185,0.29,"(3.62352 0.706185 29)"
-0.00114323,0,2.30843E-06,1048.1,0,0,0,-0.0116537,0.0377641,0.00723511,0,"(3.77641 0.723511 0)"
-0.00114323,0,2.30843E-06,1048.1,0,0,0,-0.0116537,0.0377641,0.00723511,0.29,"(3.77641 0.723511 29)"
-0.00126601,0,2.16645E-06,1047.99,0,0,0,-0.0129053,0.0392958,0.00738198,0,"(3.92958 0.738198 0)"
-0.00126601,0,2.16645E-06,1047.99,0,0,0,-0.0129053,0.0392958,0.00738198,0.29,"(3.92958 0.738198 29)"
-0.00136782,0,1.98251E-06,1047.74,0,0,0,-0.0139432,0.04083,0.00750035,0,"(4.083 0.750035 0)"
-0.00136782,0,1.98251E-06,1047.74,0,0,0,-0.0139432,0.04083,0.00750035,0.29,"(4.083 0.750035 29)"
-0.00144499,0,1.75915E-06,1047.46,0,0,0,-0.0147297,0.0423662,0.0075881,0,"(4.23662 0.75881 0)"
-0.00144499,0,1.75915E-06,1047.46,0,0,0,-0.0147297,0.0423662,0.0075881,0.29,"(4.23662 0.75881 29)"
-0.00149474,0,1.50619E-06,1047.28,0,0,0,-0.0152369,0.043904,0.00764314,0,"(4.3904 0.764314 0)"
-0.00149474,0,1.50619E-06,1047.28,0,0,0,-0.0152369,0.043904,0.00764314,0.29,"(4.3904 0.764314 29)"
-0.00151605,0,1.23643E-06,1047.32,0,0,0,-0.0154542,0.0454426,0.00766339,0,"(4.54426 0.766339 0)"
-0.00151605,0,1.23643E-06,1047.32,0,0,0,-0.0154542,0.0454426,0.00766339,0.29,"(4.54426 0.766339 29)"
-0.00150989,0,9.67544E-07,1047.79,0,0,0,-0.0153913,0.0469812,0.00764687,0,"(4.69812 0.764687 0)"
-0.00150989,0,9.67544E-07,1047.79,0,0,0,-0.0153913,0.0469812,0.00764687,0.29,"(4.69812 0.764687 29)"
-0.0014788,0,7.18701E-07,1048.81,0,0,0,-0.0150744,0.0485189,0.00759163,0,"(4.85189 0.759163 0)"
