"p","nut","k","omega","U:0","U:1","U:2","h","Points:0","Points:1","Points:2"
1.58167e-03,0.00000e+00,2.97831e-06,9.13218e+02,0.00000e+00,0.00000e+00,0.00000e+00,1.61230e-02,0.00000e+00,0.00000e+00,0.00000e+00
1.57936e-03,0.00000e+00,2.94766e-06,9.17323e+02,0.00000e+00,0.00000e+00,0.00000e+00,1.60995e-02,1.52020e-03,2.38114e-04,0.00000e+00
1.57936e-03,0.00000e+00,2.94766e-06,9.17323e+02,0.00000e+00,0.00000e+00,0.00000e+00,1.60995e-02,1.52020e-03,2.38114e-04,2.90000e-01
1.58167e-03,0.00000e+00,2.97831e-06,9.13218e+02,0.00000e+00,0.00000e+00,0.00000e+00,1.61230e-02,0.00000e+00,0.00000e+00,2.90000e-01
1.57119e-03,0.00000e+00,2.92186e-06,9.25674e+02,0.00000e+00,0.00000e+00,0.00000e+00,1.60163e-02,3.03742e-03,4.94608e-04,0.00000e+00
1.57119e-03,0.00000e+00,2.92186e-06,9.25674e+02,0.00000e+00,0.00000e+00,0.00000e+00,1.60163e-02,3.03742e-03,4.94608e-04,2.90000e-01
1.55496e-03,0.00000e+00,2.93858e-06,9.34253e+02,0.00000e+00,0.00000e+00,0.00000e+00,1.58508e-02,4.55178e-03,7.67513e-04,0.00000e+00
1.55496e-03,0.00000e+00,2.93858e-06,9.34253e+02,0.00000e+00,0.00000e+00,0.00000e+00,1.58508e-02,4.55178e-03,7.67513e-04,2.90000e-01
1.52917e-03,0.00000e+00,2.96181e-06,9.42955e+02,0.00000e+00,0.00000e+00,0.00000e+00,1.55879e-02,6.06345e-03,1.05490e-03,0.00000e+00
1.52917e-03,0.00000e+00,2.96181e-06,9.42955e+02,0.00000e+00,0.00000e+00,0.00000e+00,1.55879e-02,6.06345e-03,1.05490e-03,2.90000e-01
1.49291e-03,0.00000e+00,2.98794e-06,9.51696e+02,0.00000e+00,0.00000e+00,0.00000e+00,1.52182e-02,7.57267e-03,1.35487e-03,0.00000e+00
1.49291e-03,0.00000e+00,2.98794e-06,9.51696e+02,0.00000e+00,0.00000e+00,0.00000e+00,1.52182e-02,7.57267e-03,1.35487e-03,2.90000e-01
1.44548e-03,0.00000e+00,3.01143e-06,9.60407e+02,0.00000e+00,0.00000e+00,0.00000e+00,1.47347e-02,9.07973e-03,1.66558e-03,0.00000e+00
1.44548e-03,0.00000e+00,3.01143e-06,9.60407e+02,0.00000e+00,0.00000e+00,0.00000e+00,1.47347e-02,9.07973e-03,1.66558e-03,2.90000e-01
1.38639e-03,0.00000e+00,3.03022e-06,9.68983e+02,0.00000e+00,0.00000e+00,0.00000e+00,1.41324e-02,1.05849e-02,1.98519e-03,0.00000e+00
1.38639e-03,0.00000e+00,3.03022e-06,9.68983e+02,0.00000e+00,0.00000e+00,0.00000e+00,1.41324e-02,1.05849e-02,1.98519e-03,2.90000e-01
1.31539e-03,0.00000e+00,3.03941e-06,9.77330e+02,0.00000e+00,0.00000e+00,0.00000e+00,1.34087e-02,1.20886e-02,2.31190e-03,0.00000e+00
