# Residuals   
# Time        	p             	Ux            	Uy            
0.01          	1.000000e+00	1.000000e+00	0.000000e+00
0.02          	6.537033e-01	2.406135e-01	1.106401e-01
0.03          	6.250009e-01	2.006530e-01	5.628141e-02
0.04          	6.376070e-01	1.415963e-01	4.052111e-02
0.05          	6.219137e-01	1.065510e-01	2.735510e-02
0.06          	6.315546e-01	8.156372e-02	2.244656e-02
0.07          	6.003100e-01	6.588890e-02	1.863961e-02
0.08          	6.065039e-01	5.481911e-02	1.591056e-02
0.09          	5.839240e-01	4.666338e-02	1.569104e-02
0.10          	5.734679e-01	4.022532e-02	1.403650e-02
0.11          	5.780202e-01	3.567583e-02	1.423190e-02
0.12          	5.726456e-01	3.216057e-02	1.459994e-02
0.13          	5.661107e-01	2.865938e-02	1.397158e-02
0.14          	5.630204e-01	2.667550e-02	1.445082e-02
0.15          	5.593090e-01	2.415065e-02	1.410061e-02
0.16          	5.486357e-01	2.275431e-02	1.399918e-02
0.17          	5.370325e-01	2.140677e-02	1.370731e-02
0.18          	5.248776e-01	1.996184e-02	1.297376e-02
0.19          	5.232825e-01	1.868620e-02	1.238678e-02
0.20          	5.166614e-01	1.754463e-02	1.168180e-02
0.21          	4.981187e-01	1.669103e-02	1.115997e-02
0.22          	4.826318e-01	1.571553e-02	1.037302e-02
0.23          	4.661657e-01	1.484165e-02	9.938300e-03
0.24          	4.515626e-01	1.414874e-02	9.438589e-03
0.25          	4.355984e-01	1.342448e-02	8.915434e-03
0.26          	4.261182e-01	1.275855e-02	8.714776e-03
0.27          	4.204863e-01	1.224716e-02	8.389681e-03
0.28          	3.953281e-01	1.164701e-02	8.092425e-03
0.29          	3.861910e-01	1.113460e-02	7.969901e-03
0.30          	3.748939e-01	1.065353e-02	7.827419e-03
0.31          	3.596913e-01	1.024204e-02	7.803858e-03
0.32          	3.376165e-01	9.810169e-03	7.507595e-03
0.33          	3.298787e-01	9.491904e-03	7.506028e-03
0.34          	3.122992e-01	9.178283e-03	7.358926e-03
0.35          	2.933923e-01	8.904681e-03	7.264587e-03
0.36          	2.816099e-01	8.670306e-03	7.264351e-03
0.37          	2.816649e-01	8.482821e-03	7.128326e-03
0.38          	2.723423e-01	8.279735e-03	7.238031e-03
0.39          	2.674822e-01	8.064716e-03	7.152496e-03
0.40          	2.635658e-01	7.786265e-03	7.136825e-03
0.41          	2.538010e-01	7.576299e-03	7.067634e-03
0.42          	2.388865e-01	7.419699e-03	7.056968e-03
0.43          	2.361734e-01	7.234016e-03	7.038962e-03
0.44          	2.335793e-01	6.992804e-03	6.951640e-03
0.45          	2.316445e-01	6.862246e-03	6.952616e-03
0.46          	2.274358e-01	6.680844e-03	6.902017e-03
0.47          	2.120480e-01	6.531691e-03	6.852798e-03
0.48          	2.174414e-01	6.449971e-03	6.872426e-03
0.49          	2.269340e-01	6.333256e-03	6.957175e-03
0.50          	2.292997e-01	6.287115e-03	6.892591e-03
0.51          	2.256100e-01	6.113158e-03	6.890193e-03
0.52          	2.135788e-01	5.929339e-03	6.896127e-03
0.53          	2.139473e-01	5.845332e-03	6.874701e-03
0.54          	2.172577e-01	5.811789e-03	6.945625e-03
0.55          	2.204689e-01	5.721786e-03	7.094363e-03
0.56          	2.221046e-01	5.668549e-03	7.329946e-03
0.57          	2.295080e-01	5.629742e-03	7.477246e-03
0.58          	2.345671e-01	5.595407e-03	7.614296e-03
0.59          	2.503776e-01	5.647217e-03	7.711464e-03
0.60          	2.525769e-01	5.612481e-03	7.874904e-03
0.61          	2.569260e-01	5.567480e-03	7.766100e-03
0.62          	2.545682e-01	5.503298e-03	7.855780e-03
0.63          	2.430505e-01	5.310012e-03	7.625485e-03
