# Residuals   
# Time        	p             	Ux            	Uy            
0.01          	1.000000e+00	1.000000e+00	0.000000e+00
0.02          	5.384458e-01	2.223644e-01	1.026157e-01
0.03          	5.730697e-01	1.959463e-01	4.003678e-02
0.04          	5.955306e-01	1.587179e-01	3.540529e-02
0.05          	5.853261e-01	1.285986e-01	2.783083e-02
0.06          	6.243626e-01	1.023952e-01	2.320812e-02
0.07          	6.028944e-01	8.164842e-02	2.101391e-02
0.08          	5.828404e-01	6.774433e-02	1.934908e-02
0.09          	5.502178e-01	5.672333e-02	1.835056e-02
0.1           	5.465985e-01	4.950779e-02	1.791683e-02
0.11          	5.094110e-01	4.288414e-02	1.667615e-02
0.12          	5.075551e-01	3.841180e-02	1.620458e-02
0.13          	4.849347e-01	3.440585e-02	1.606489e-02
0.14          	4.833932e-01	3.156962e-02	1.551304e-02
0.15          	4.712336e-01	2.887437e-02	1.481653e-02
0.16          	4.519761e-01	2.670852e-02	1.455124e-02
0.17          	4.413916e-01	2.486055e-02	1.384862e-02
0.18          	4.369078e-01	2.342499e-02	1.286192e-02
0.19          	4.279410e-01	2.214954e-02	1.220376e-02
0.2           	4.201951e-01	2.096630e-02	1.166971e-02
0.21          	3.982835e-01	1.998345e-02	1.119961e-02
0.22          	3.708809e-01	1.903184e-02	1.058797e-02
0.23          	3.547186e-01	1.829435e-02	1.021478e-02
0.24          	3.367881e-01	1.758320e-02	9.812401e-03
0.25          	3.133029e-01	1.669389e-02	9.451485e-03
0.26          	3.074676e-01	1.606441e-02	9.124604e-03
0.27          	2.820809e-01	1.535408e-02	8.823244e-03
0.28          	2.606416e-01	1.478116e-02	8.543048e-03
0.29          	2.505583e-01	1.420043e-02	8.378350e-03
0.3           	2.376879e-01	1.380243e-02	8.248701e-03
0.31          	2.317580e-01	1.340337e-02	8.079796e-03
0.32          	2.305767e-01	1.297725e-02	8.004199e-03
0.33          	2.172419e-01	1.267259e-02	7.865520e-03
0.34          	2.193421e-01	1.237459e-02	7.686709e-03
0.35          	2.094757e-01	1.201090e-02	7.538292e-03
0.36          	1.975615e-01	1.165126e-02	7.530855e-03
0.37          	1.993657e-01	1.135650e-02	7.494867e-03
0.38          	1.989456e-01	1.113165e-02	7.532141e-03
0.39          	2.016398e-01	1.091742e-02	7.503706e-03
0.4           	2.070805e-01	1.071887e-02	7.537168e-03
0.41          	1.968620e-01	1.041130e-02	7.382114e-03
0.42          	1.881022e-01	1.003663e-02	7.475087e-03
0.43          	1.865388e-01	9.806602e-03	7.407966e-03
0.44          	1.820708e-01	9.583626e-03	7.321006e-03
0.45          	1.813425e-01	9.333848e-03	7.332295e-03
0.46          	1.834633e-01	9.120663e-03	7.492031e-03
0.47          	1.906233e-01	8.881263e-03	7.632508e-03
0.48          	2.059022e-01	8.723413e-03	7.901221e-03
0.49          	2.001960e-01	8.518098e-03	8.016727e-03
0.5           	1.987801e-01	8.350266e-03	7.990098e-03
0.51          	2.040736e-01	8.206529e-03	7.817456e-03
0.52          	2.021219e-01	8.062472e-03	7.619366e-03
0.53          	2.110834e-01	7.950700e-03	7.447271e-03
0.54          	2.055231e-01	7.819754e-03	7.394147e-03
0.55          	2.017853e-01	7.809106e-03	7.654820e-03
0.56          	2.192380e-01	7.789395e-03	8.051316e-03
0.57          	2.380058e-01	7.817831e-03	8.595961e-03
0.58          	2.498468e-01	7.791276e-03	9.119929e-03
0.59          	2.482329e-01	7.832609e-03	9.261307e-03
0.6           	2.574908e-01	7.749999e-03	9.275869e-03
0.61          	2.467783e-01	7.608706e-03	8.880311e-03
0.62          	2.395017e-01	7.450889e-03	8.436627e-03
0.63          	2.253235e-01	7.318996e-03	7.960373e-03
0.64          	2.093146e-01	7.134148e-03	7.595471e-03
0.65          	2.006582e-01	7.005556e-03	7.211243e-03
0.66          	1.949116e-01	6.874928e-03	7.086195e-03
0.67          	2.082487e-01	6.656357e-03	7.045515e-03
0.68          	2.107145e-01	6.513028e-03	7.200438e-03
0.69          	2.066901e-01	6.356398e-03	7.281700e-03
0.7           	2.026156e-01	6.193342e-03	7.256284e-03
0.71          	2.027147e-01	6.050039e-03	7.252658e-03
0.72          	2.036985e-01	5.941123e-03	7.237039e-03
0.73          	1.984120e-01	5.831791e-03	7.201350e-03
0.74          	1.969280e-01	5.730040e-03	7.062040e-03
0.75          	1.952876e-01	5.648011e-03	6.951992e-03
0.76          	2.000960e-01	5.556303e-03	6.918228e-03
0.77          	2.030596e-01	5.483937e-03	6.953762e-03
0.78          	2.125426e-01	5.419143e-03	6.993727e-03
0.79          	2.319371e-01	5.404654e-03	7.149461e-03
0.8           	2.789924e-01	5.403723e-03	7.444757e-03
0.81          	2.887591e-01	5.418822e-03	7.826097e-03
0.82          	2.770743e-01	5.464251e-03	8.549354e-03
0.83          	2.881643e-01	5.508105e-03	9.556598e-03
0.84          	3.041138e-01	5.551223e-03	1.046470e-02
0.85          	3.052428e-01	5.469271e-03	1.099725e-02
0.86          	3.102198e-01	5.336872e-03	1.130907e-02
0.87          	3.157856e-01	5.184517e-03	1.132957e-02
0.88          	3.090117e-01	5.046361e-03	1.119656e-02
0.89          	2.991403e-01	4.928548e-03	1.118063e-02
0.9           	3.128274e-01	4.868425e-03	1.111907e-02
0.91          	3.076266e-01	4.793194e-03	1.121629e-02
0.92          	3.114399e-01	4.782878e-03	1.150947e-02
0.93          	3.034667e-01	4.768331e-03	1.201005e-02
0.94          	3.156639e-01	4.770033e-03	1.249595e-02
0.95          	3.381023e-01	4.839550e-03	1.321516e-02
0.96          	3.505554e-01	4.911853e-03	1.371442e-02
0.97          	3.418144e-01	4.909054e-03	1.400589e-02
0.98          	3.316194e-01	4.910708e-03	1.361466e-02
