# Residuals   
# Time        	p             	Ux            	Uy            
0.01          	1.000000e+00	1.000000e+00	0.000000e+00
0.02          	6.489983e-01	2.331775e-01	1.031430e-01
0.03          	6.229676e-01	2.059883e-01	5.366053e-02
0.04          	6.433642e-01	1.523780e-01	4.080198e-02
0.05          	6.210415e-01	1.188134e-01	2.962636e-02
0.06          	6.350347e-01	8.987011e-02	2.360920e-02
0.07          	6.165287e-01	7.234907e-02	2.114132e-02
0.08          	6.085009e-01	6.012463e-02	1.939409e-02
0.09          	5.777282e-01	5.122563e-02	1.792703e-02
0.1           	5.860611e-01	4.404097e-02	1.647961e-02
0.11          	5.574864e-01	3.893472e-02	1.631724e-02
0.12          	5.508438e-01	3.517797e-02	1.581091e-02
0.13          	5.267617e-01	3.147450e-02	1.547383e-02
0.14          	5.234406e-01	2.860554e-02	1.513841e-02
0.15          	5.153544e-01	2.636296e-02	1.478733e-02
0.16          	5.174248e-01	2.423359e-02	1.436895e-02
0.17          	5.038981e-01	2.235329e-02	1.397080e-02
0.18          	5.059245e-01	2.082203e-02	1.350156e-02
0.19          	4.881520e-01	1.950079e-02	1.280991e-02
0.2           	4.717916e-01	1.860276e-02	1.212791e-02
0.21          	4.553598e-01	1.776529e-02	1.104210e-02
0.22          	4.553263e-01	1.683817e-02	1.066201e-02
0.23          	4.341794e-01	1.597483e-02	1.015393e-02
0.24          	4.258362e-01	1.529241e-02	1.015477e-02
0.25          	4.158018e-01	1.434316e-02	9.797075e-03
0.26          	3.984072e-01	1.381703e-02	9.556574e-03
0.27          	3.966197e-01	1.328218e-02	9.413208e-03
0.28          	3.719057e-01	1.263795e-02	9.000903e-03
0.29          	3.722926e-01	1.227667e-02	8.904563e-03
0.3           	3.584450e-01	1.179092e-02	8.590339e-03
0.31          	3.446109e-01	1.129735e-02	8.340618e-03
0.32          	3.311832e-01	1.090583e-02	8.211482e-03
0.33          	3.173348e-01	1.061151e-02	7.938035e-03
0.34          	3.030325e-01	1.023316e-02	7.760651e-03
0.35          	2.863523e-01	9.906532e-03	7.579183e-03
0.36          	2.713258e-01	9.636341e-03	7.423009e-03
0.37          	2.532329e-01	9.471599e-03	7.067983e-03
0.38          	2.346271e-01	9.224188e-03	6.922903e-03
0.39          	2.315195e-01	9.048309e-03	6.816704e-03
0.4           	2.244135e-01	8.803622e-03	6.828624e-03
0.41          	2.131893e-01	8.524722e-03	6.747080e-03
0.42          	2.086967e-01	8.321834e-03	6.607839e-03
0.43          	2.026606e-01	8.107233e-03	6.697002e-03
0.44          	2.085869e-01	7.946436e-03	6.884070e-03
0.45          	2.131356e-01	7.841823e-03	7.106148e-03
0.46          	2.155705e-01	7.702962e-03	7.231318e-03
0.47          	2.216276e-01	7.568294e-03	7.422366e-03
0.48          	2.356099e-01	7.488894e-03	7.536565e-03
0.49          	2.354814e-01	7.406424e-03	7.525689e-03
0.5           	2.331089e-01	7.268565e-03	7.433813e-03
0.51          	2.308603e-01	7.166073e-03	7.446407e-03
0.52          	2.276039e-01	6.991940e-03	7.510353e-03
0.53          	2.277819e-01	6.906580e-03	7.569213e-03
0.54          	2.358469e-01	6.831891e-03	7.936586e-03
0.55          	2.378494e-01	6.639168e-03	8.053378e-03
0.56          	2.340153e-01	6.549897e-03	8.406347e-03
0.57          	2.391078e-01	6.429121e-03	8.477299e-03
0.58          	2.292241e-01	6.252125e-03	8.376195e-03
0.59          	2.370591e-01	6.085399e-03	8.342385e-03
0.6           	2.227173e-01	5.917384e-03	8.179377e-03
0.61          	2.153948e-01	5.774277e-03	7.964070e-03
