Time,"p","Points:0","Points:1","Points:2"
7.400000e+01,1.482570e-03,0.000000e+00,0.000000e+00,0.000000e+00
7.400000e+01,1.476295e-03,1.520200e-03,2.381140e-04,0.000000e+00
7.400000e+01,1.476295e-03,1.520200e-03,2.381140e-04,2.900000e-01
7.400000e+01,1.482570e-03,0.000000e+00,0.000000e+00,2.900000e-01
7.400000e+01,1.459320e-03,3.037420e-03,4.946080e-04,0.000000e+00
7.400000e+01,1.459320e-03,3.037420e-03,4.946080e-04,2.900000e-01
7.400000e+01,1.433515e-03,4.551780e-03,7.675130e-04,0.000000e+00
7.400000e+01,1.433515e-03,4.551780e-03,7.675130e-04,2.900000e-01
7.400000e+01,1.397955e-03,6.063450e-03,1.054900e-03,0.000000e+00
7.400000e+01,1.397955e-03,6.063450e-03,1.054900e-03,2.900000e-01
7.400000e+01,1.351710e-03,7.572670e-03,1.354870e-03,0.000000e+00
7.400000e+01,1.351710e-03,7.572670e-03,1.354870e-03,2.900000e-01
7.400000e+01,1.294155e-03,9.079730e-03,1.665580e-03,0.000000e+00
7.400000e+01,1.294155e-03,9.079730e-03,1.665580e-03,2.900000e-01
7.400000e+01,1.224865e-03,1.058490e-02,1.985190e-03,0.000000e+00
7.400000e+01,1.224865e-03,1.058490e-02,1.985190e-03,2.900000e-01
7.400000e+01,1.143810e-03,1.208860e-02,2.311900e-03,0.000000e+00
7.400000e+01,1.143810e-03,1.208860e-02,2.311900e-03,2.900000e-01
7.400000e+01,1.051055e-03,1.359110e-02,2.643950e-03,0.000000e+00
7.400000e+01,1.051055e-03,1.359110e-02,2.643950e-03,2.900000e-01
7.400000e+01,9.465425e-04,1.509280e-02,2.979560e-03,0.000000e+00
7.400000e+01,9.465425e-04,1.509280e-02,2.979560e-03,2.900000e-01
7.400000e+01,8.308075e-04,1.659410e-02,3.317000e-03,0.000000e+00
7.400000e+01,8.308075e-04,1.659410e-02,3.317000e-03,2.900000e-01
7.400000e+01,7.040010e-04,1.809540e-02,3.654530e-03,0.000000e+00
7.400000e+01,7.040010e-04,1.809540e-02,3.654530e-03,2.900000e-01
7.400000e+01,5.668510e-04,1.959700e-02,3.990400e-03,0.000000e+00
7.400000e+01,5.668510e-04,1.959700e-02,3.990400e-03,2.900000e-01
7.400000e+01,4.198265e-04,2.109940e-02,4.322870e-03,0.000000e+00
7.400000e+01,4.198265e-04,2.109940e-02,4.322870e-03,2.900000e-01
7.400000e+01,2.640985e-04,2.260300e-02,4.650170e-03,0.000000e+00
7.400000e+01,2.640985e-04,2.260300e-02,4.650170e-03,2.900000e-01
7.400000e+01,1.018159e-04,2.410800e-02,4.970550e-03,0.000000e+00
7.400000e+01,1.018159e-04,2.410800e-02,4.970550e-03,2.900000e-01
7.400000e+01,-6.550665e-05,2.561490e-02,5.282190e-03,0.000000e+00
7.400000e+01,-6.550665e-05,2.561490e-02,5.282190e-03,2.900000e-01
7.400000e+01,-2.390105e-04,2.712390e-02,5.583290e-03,0.000000e+00
7.400000e+01,-2.390105e-04,2.712390e-02,5.583290e-03,2.900000e-01
7.400000e+01,-4.185450e-04,2.863530e-02,5.871970e-03,0.000000e+00
7.400000e+01,-4.185450e-04,2.863530e-02,5.871970e-03,2.900000e-01
7.400000e+01,-5.996635e-04,3.014940e-02,6.146360e-03,0.000000e+00
