Time,"p","Points:0","Points:1","Points:2"
1.250000e+02,4.207570e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.250000e+02,4.162345e-03,1.520200e-03,2.381140e-04,0.000000e+00
1.250000e+02,4.162345e-03,1.520200e-03,2.381140e-04,2.900000e-01
1.250000e+02,4.207570e-03,0.000000e+00,0.000000e+00,2.900000e-01
1.250000e+02,4.067090e-03,3.037420e-03,4.946080e-04,0.000000e+00
1.250000e+02,4.067090e-03,3.037420e-03,4.946080e-04,2.900000e-01
1.250000e+02,3.954220e-03,4.551780e-03,7.675130e-04,0.000000e+00
1.250000e+02,3.954220e-03,4.551780e-03,7.675130e-04,2.900000e-01
1.250000e+02,3.822405e-03,6.063450e-03,1.054900e-03,0.000000e+00
1.250000e+02,3.822405e-03,6.063450e-03,1.054900e-03,2.900000e-01
1.250000e+02,3.668965e-03,7.572670e-03,1.354870e-03,0.000000e+00
1.250000e+02,3.668965e-03,7.572670e-03,1.354870e-03,2.900000e-01
1.250000e+02,3.490250e-03,9.079730e-03,1.665580e-03,0.000000e+00
1.250000e+02,3.490250e-03,9.079730e-03,1.665580e-03,2.900000e-01
1.250000e+02,3.286490e-03,1.058490e-02,1.985190e-03,0.000000e+00
1.250000e+02,3.286490e-03,1.058490e-02,1.985190e-03,2.900000e-01
1.250000e+02,3.057370e-03,1.208860e-02,2.311900e-03,0.000000e+00
1.250000e+02,3.057370e-03,1.208860e-02,2.311900e-03,2.900000e-01
1.250000e+02,2.806800e-03,1.359110e-02,2.643950e-03,0.000000e+00
1.250000e+02,2.806800e-03,1.359110e-02,2.643950e-03,2.900000e-01
1.250000e+02,2.534260e-03,1.509280e-02,2.979560e-03,0.000000e+00
1.250000e+02,2.534260e-03,1.509280e-02,2.979560e-03,2.900000e-01
1.250000e+02,2.244335e-03,1.659410e-02,3.317000e-03,0.000000e+00
1.250000e+02,2.244335e-03,1.659410e-02,3.317000e-03,2.900000e-01
1.250000e+02,1.937325e-03,1.809540e-02,3.654530e-03,0.000000e+00
1.250000e+02,1.937325e-03,1.809540e-02,3.654530e-03,2.900000e-01
1.250000e+02,1.614900e-03,1.959700e-02,3.990400e-03,0.000000e+00
1.250000e+02,1.614900e-03,1.959700e-02,3.990400e-03,2.900000e-01
